"Location","PASFR","Births"
"India",1.681,2123.771
"India",1.681,2239.377
"India",1.681,NA
"India",1.687,1274.51
"India",1.687,1735.289
"India",1.687,1757.137
"India",1.687,1776.76
"India",1.687,2061.531
"India",1.687,2135.35
"India",1.687,2138.974
"India",1.687,2162.233
"India",1.687,2239.763
"India",1.687,NA
"India",1.703,1321.415
"India",1.703,1776.319
"India",1.703,1788.103
"India",1.703,1798.106
"India",1.703,2011.719
"India",1.703,2072.89
"India",1.703,2077.409
"India",1.703,2091.19
"India",1.703,2254.791
"India",1.703,NA
"India",1.722,1231.028
"India",1.722,1682.431
"India",1.722,1708.791
"India",1.722,1731.846
"India",1.722,2036.177
"India",1.722,2107.751
"India",1.722,2116.913
"India",1.722,2140.774
"India",1.722,2186.553
"India",1.722,NA
"India",1.755,1380.146
"India",1.755,1838.313
"India",1.755,1845.855
"India",1.755,1851.438
"India",1.755,2023.382
"India",1.755,2073.964
"India",1.755,2078.013
"India",1.755,2086.538
"India",1.755,2311.565
"India",1.755,NA
"India",1.787,2006.923
"India",1.787,2272.01
"India",1.787,2272.65
"India",1.787,2275.268
"India",1.787,2353.498
"India",1.787,2378.984
"India",1.787,2379.654
"India",1.787,2381.13
"India",1.787,2538.08
"India",1.787,NA
"India",1.788,1199.734
"India",1.788,1644.052
"India",1.788,1675.794
"India",1.788,1702.626
"India",1.788,2024.319
"India",1.788,2092.548
"India",1.788,2107.127
"India",1.788,2132.95
"India",1.788,2151.854
"India",1.788,NA
"India",1.796,NA
"India",1.797,NA
"India",1.812,NA
"India",1.823,NA
"India",1.824,NA
"India",1.825,NA
"India",1.825,NA
"India",1.838,1536.728
"India",1.838,1904.763
"India",1.838,1908.648
"India",1.838,1911.4
"India",1.838,2037.341
"India",1.838,2075.798
"India",1.838,2077.855
"India",1.838,2082.092
"India",1.838,2280.314
"India",1.838,NA
"India",1.842,NA
"India",1.862,NA
"India",1.864,NA
"India",1.868,NA
"India",1.873,NA
"India",1.875,NA
"India",1.879,NA
"India",1.879,NA
"Denmark",1.88,4.754
"India",1.88,NA
"India",1.883,NA
"India",1.887,1164.733
"India",1.887,1691.46
"India",1.887,1736.617
"India",1.887,1768.47
"India",1.887,2152.894
"India",1.887,2227.036
"India",1.887,2246.322
"India",1.887,2286.765
"India",1.887,2367.4
"India",1.887,NA
"India",1.89,NA
"India",1.895,NA
"India",1.895,NA
"India",1.897,1200.839
"India",1.903,NA
"India",1.909,NA
"India",1.918,NA
"India",1.931,NA
"India",1.934,385.05
"India",1.934,1084.185
"India",1.934,1202.549
"India",1.934,1251.838
"India",1.934,2245.516
"India",1.934,2381.682
"India",1.934,2451.271
"India",1.934,2641.593
"India",1.934,2844.764
"India",1.934,NA
"India",1.938,NA
"India",1.951,1704.269
"India",1.951,1928.788
"India",1.951,1929.902
"India",1.951,1930.752
"India",1.951,1998.563
"India",1.951,2019.589
"India",1.951,2020.016
"India",1.951,2020.756
"India",1.951,2155.304
"India",1.951,NA
"India",1.953,NA
"India",1.956,NA
"India",1.961,NA
"India",1.961,NA
"India",1.964,NA
"India",1.973,NA
"India",1.981,NA
"Denmark",1.989,7.92
"India",2.008,NA
"India",2.013,1800.83
"India",2.022,NA
